Fiscal Year,Service,Department,Division,Position Number,Job Title,Total Salary
2020,Human Resources and Development,Library,Main Library,L431-704,Library Associate,21835.00
2020,Human Resources and Development,Library,Main Library,L431-701,Library Associate,51488.00
2020,Human Resources and Development,Library,Main Library,l414-729,Library Assistant,30609.00
2020,Human Resources and Development,Library,Main Library,L414-727,Library Assistant,46825.00
2020,Human Resources and Development,Library,Main Library,L414-725,Library Assistant,46825.00
2020,Human Resources and Development,Library,Main Library,L414-724,Library Assistant,45713.00
2020,Human Resources and Development,Library,Main Library,L414-723,Library Assistant,46825.00
2020,Human Resources and Development,Library,Main Library,L414-720,Library Assistant,45506.00
2020,Human Resources and Development,Library,Main Library,L414-715,Library Assistant,46825.00
2020,Human Resources and Development,Library,Main Library,l414-711,Library Assistant,46825.00
2020,Human Resources and Development,Library,Main Library,L414-710,Library Assistant,35382.00
2020,Human Resources and Development,Library,Main Library,L414-709,Library Assistant,17671.00
2020,Human Resources and Development,Library,Main Library,L414-707,Library Assistant,17602.00
2020,Human Resources and Development,Library,Main Library,L414-702,Library Assistant,46825.00
2020,Human Resources and Development,Library,Main Library,M110-701,Human Resource Coord./Library,48089.00
2020,Human Resources and Development,Library,Main Library,c739-001,Head Custodian/Library,58894.00
2020,Human Resources and Development,Library,Main Library,L420-701,Graphic Designer,61322.00
2020,Human Resources and Development,Library,Main Library,M419-701,Facilities Manager/Library,106088.00
2020,Human Resources and Development,Library,Main Library,M109-701,Executive Assistant/Library,72134.00
2020,Human Resources and Development,Library,Main Library,M005-701,Executive Assistant/Library,62787.00
2020,Human Resources and Development,Library,Main Library,O401-701,Dir/Library & Communications,158123.00
2020,Human Resources and Development,Library,Main Library,M410-701,Deputy Director/Lib,120659.00
2020,Human Resources and Development,Library,Main Library,C738-006,Building Custodian/Library,54346.00
2020,Human Resources and Development,Library,Main Library,C738-003,Building Custodian/Library,44027.00
2020,Human Resources and Development,Library,Main Library,M406-702,Asst Director/Lib,120226.00
2020,Human Resources and Development,Library,Main Library,M404-706,Assoc Librarian,95962.00
2020,Human Resources and Development,Library,Branch Libraries,L412-730,Staff Librarian,62969.00
2020,Human Resources and Development,Library,Branch Libraries,L412-729,Staff Librarian,59305.00
2020,Human Resources and Development,Library,Branch Libraries,L412-727,Staff Librarian,62969.00
2020,Human Resources and Development,Library,Branch Libraries,L412-722,Staff Librarian,62969.00
2020,Human Resources and Development,Library,Branch Libraries,L412-710,Staff Librarian,57889.00
2020,Human Resources and Development,Library,Branch Libraries,L412-702,Staff Librarian,66028.00
2020,Human Resources and Development,Library,Branch Libraries,L432-701,Senior Technician,62969.00
2020,Human Resources and Development,Library,Branch Libraries,L408-708,Senior Librarian,70533.00
2020,Human Resources and Development,Library,Branch Libraries,M411-701,Manager of Branch Services,95962.00
2020,Human Resources and Development,Library,Branch Libraries,L427-701,Literacy Specialist,70533.00
2020,Human Resources and Development,Library,Branch Libraries,L422-741,Library Clerk,17488.00
2020,Human Resources and Development,Library,Branch Libraries,L422-740,Library Clerk,17488.00
2020,Human Resources and Development,Library,Branch Libraries,L422-734,Library Clerk,16143.00
2020,Human Resources and Development,Library,Branch Libraries,L422-732,Library Clerk,16040.00
2020,Human Resources and Development,Library,Branch Libraries,L422-731,Library Clerk,17488.00
2020,Human Resources and Development,Library,Branch Libraries,L422-730,Library Clerk,15593.00
2020,Human Resources and Development,Library,Branch Libraries,L422-728,Library Clerk,14987.00
2020,Human Resources and Development,Library,Branch Libraries,L422-726,Library Clerk,15178.00
2020,Human Resources and Development,Library,Branch Libraries,L422-723,Library Clerk,17488.00
2020,Human Resources and Development,Library,Branch Libraries,L422-716,Library Clerk,17425.00
2020,Human Resources and Development,Library,Branch Libraries,L422-714,Library Clerk,15432.00
2020,Human Resources and Development,Library,Branch Libraries,L422-713,Library Clerk,20986.00
2020,Human Resources and Development,Library,Branch Libraries,L422-709,Library Clerk,34172.00
2020,Human Resources and Development,Library,Branch Libraries,L422-705,Library Clerk,17488.00
2020,Human Resources and Development,Library,Branch Libraries,L431-728,Library Associate,43671.00
2020,Human Resources and Development,Library,Branch Libraries,L431-710,Library Associate,43671.00
2020,Human Resources and Development,Library,Branch Libraries,L431-705,Library Associate,54589.00
2020,Human Resources and Development,Library,Branch Libraries,L414-730,Library Assistant,37460.00
2020,Human Resources and Development,Library,Branch Libraries,L414-728,Library Assistant,21099.00
2020,Human Resources and Development,Library,Branch Libraries,L413-709,Librarian II,48933.00
2020,Human Resources and Development,Library,Branch Libraries,L410-710,Branch Manager,65454.00
2020,Human Resources and Development,Library,Branch Libraries,L410-707,Branch Manager,70533.00
2020,Human Resources and Development,Library,Branch Libraries,L410-706,Branch Manager,70533.00
2020,Human Resources and Development,Library,Branch Libraries,L410-705,Branch Manager,61524.00
2020,Human Resources and Development,Library,Branch Libraries,L410-703,Branch Manager,68652.00
2020,Human Resources and Development,Library,Branch Libraries,M001-001,Associate Manager of Branch Services,76791.00
2020,Human Resources and Development,Human Services,Youth Programs,M427-714,Youth Center Program Director,52311.00
2020,Human Resources and Development,Human Services,Youth Programs,M427-713,Youth Center Program Director,48268.00
2020,Human Resources and Development,Human Services,Youth Programs,M427-712,Youth Center Program Director,50466.00
2020,Human Resources and Development,Human Services,Youth Programs,M427-711,Youth Center Program Director,55098.00
2020,Human Resources and Development,Human Services,Youth Programs,M427-710,Youth Center Program Director,52873.00
2020,Human Resources and Development,Human Services,Youth Programs,M427-709,Youth Center Program Director,55098.00
2020,Human Resources and Development,Human Services,Youth Programs,M427-706,Youth Center Program Director,53563.00
2020,Human Resources and Development,Human Services,Youth Programs,M427-705,Youth Center Program Director,41124.00
2020,Human Resources and Development,Human Services,Youth Programs,M427-703,Youth Center Program Director,52086.00
2020,Human Resources and Development,Human Services,Youth Programs,M870-705,Youth Center Director,60877.00
2020,Human Resources and Development,Human Services,Youth Programs,M870-704,Youth Center Director,62383.00
2020,Human Resources and Development,Human Services,Youth Programs,M870-703,Youth Center Director,65249.00
2020,Human Resources and Development,Human Services,Youth Programs,M870-702,Youth Center Director,65249.00
2020,Human Resources and Development,Human Services,Youth Programs,M870-701,Youth Center Director,65249.00
2020,Human Resources and Development,Human Services,Youth Programs,M287-701,Special Projects Manager/Youth,65249.00
2020,Human Resources and Development,Human Services,Youth Programs,M448-701,Middle School Program Coord,46151.00
2020,Human Resources and Development,Human Services,Youth Programs,M699-701,Div Head/Yth Prgm,107102.00
2020,Human Resources and Development,Human Services,Youth Programs,M875-002,Dir./Prgm Quality & Training,86615.00
2020,Human Resources and Development,Human Services,Youth Programs,M875-001,Dir./Prgm Quality & Training,86559.00
2020,Human Resources and Development,Human Services,Youth Programs,M283-702,CYP Youth Connector,45035.00
2020,Human Resources and Development,Human Services,Youth Programs,M283-701,CYP Youth Connector,39606.00
2020,Human Resources and Development,Human Services,Recreation,A622-701,Superintendent-Golf Course,85454.00
2020,Human Resources and Development,Human Services,Recreation,M421-701,"Recreation  Activities Coord,",58451.00
2020,Human Resources and Development,Human Services,Recreation,M449-701,Recr Ctr & Aquatics Coord.,84871.00
2020,Human Resources and Development,Human Services,Recreation,M221-701,Permit & War Mem.Rec Ctr Coord,66386.00
2020,Human Resources and Development,Human Services,Recreation,A695-001,Greens Asssistant II,60303.00
2020,Human Resources and Development,Human Services,Recreation,A695-701,Greens Assistant,33798.00
2020,Human Resources and Development,Human Services,Recreation,M450-701,Div Head/Recreation,107934.00
2020,Human Resources and Development,Human Services,Recreation,M452-701,Director of Golf,84033.00
2020,Human Resources and Development,Human Services,Recreation,M473-701,Danehy Site Supervisor,88850.00
2020,Human Resources and Development,Human Services,Recreation,A861-701,Bus Driver/Rec/Wkend,68745.00
2020,Human Resources and Development,Human Services,Recreation,M474-703,Asst Site Supervisor/Dane,56827.00
2020,Human Resources and Development,Human Services,Recreation,M474-702,Asst Site Supervisor/Dane,56827.00
2020,Human Resources and Development,Human Services,Recreation,M474-701,Asst Site Supervisor/Dane,56827.00
2020,Human Resources and Development,Human Services,Planning and Development,K493-001,Planner/Contract Manager,69067.00
2020,Human Resources and Development,Human Services,Planning and Development,M159-701,Homeless Srvcs Continuum Plan,76135.00
2020,Human Resources and Development,Human Services,Planning and Development,M447-701,HMIS Project Manager,76135.00
2020,Human Resources and Development,Human Services,Office of Workforce Development,M202-701,Youth Services Specialist,63073.00
2020,Human Resources and Development,Human Services,Office of Workforce Development,M496-002,Workshop Fac&Job Developer CEP,60164.00
2020,Human Resources and Development,Human Services,Office of Workforce Development,M379-701,Transitional Jobs Prog. Coord.,73134.00
2020,Human Resources and Development,Human Services,Office of Workforce Development,M375-701,Sr. Youth Programs Manager,87770.00
2020,Human Resources and Development,Human Services,Office of Workforce Development,M498-701,Senior Job Developer,73134.00
2020,Human Resources and Development,Human Services,Office of Workforce Development,M364-701,Program Asst/WDO,53986.00
2020,Human Resources and Development,Human Services,Office of Workforce Development,M360-701,Prog Dir-Adult Empl/WDO,87770.00
2020,Human Resources and Development,Human Services,Office of Workforce Development,M497-701,Employment Services Coord.,63957.00
2020,Human Resources and Development,Human Services,Office of Workforce Development,M362-701,Employment Coordinator,73134.00
2020,Human Resources and Development,Human Services,Office of Workforce Development,M361-701,Div Head/Workforce Develp,109127.00
2020,Human Resources and Development,Human Services,Office of Workforce Development,M384-701,"Case Mgr, Tran Jobs Prog.",63957.00
2020,Human Resources and Development,Human Services,Office of Workforce Development,M494-701,Career Counselor/CEP,59636.00
2020,Human Resources and Development,Human Services,Office of Workforce Development,M126-701,Career Counseling Coordinator,73134.00
2020,Human Resources and Development,Human Services,Multi-Service Center,C110-705,Sr Clerk & Typist,47483.00
2020,Human Resources and Development,Human Services,Multi-Service Center,M762-701,Senior Case Manager,64870.00
2020,Human Resources and Development,Human Services,Multi-Service Center,M478-701,Multiservice Center Direc,88110.00
2020,Human Resources and Development,Human Services,Multi-Service Center,M438-701,Multi Service Center Assistant,50153.00
2020,Human Resources and Development,Human Services,Multi-Service Center,M464-701,Housng Spec/Elderly/Disab,62347.00
2020,Human Resources and Development,Human Services,Multi-Service Center,M466-701,Haitian Services Coordina,62346.00
2020,Human Resources and Development,Human Services,Multi-Service Center,M761-704,Case Manager/Dhsp,61745.00
2020,Human Resources and Development,Human Services,"Leadership, Operations & IT",M156-702,System Administrator,106088.00
2020,Human Resources and Development,Human Services,"Leadership, Operations & IT",M228-701,STEAM Initiative Quality Mgr,82667.00
2020,Human Resources and Development,Human Services,"Leadership, Operations & IT",M451-701,Steam Coordinator,115263.00
2020,Human Resources and Development,Human Services,"Leadership, Operations & IT",C171-710,Sr Account Clerk,60021.00
2020,Human Resources and Development,Human Services,"Leadership, Operations & IT",C171-706,Sr Account Clerk,60021.00
2020,Human Resources and Development,Human Services,"Leadership, Operations & IT",C171-702,Sr Account Clerk,60021.00
2020,Human Resources and Development,Human Services,"Leadership, Operations & IT",M158-701,Project Coordinator/DHSP,101531.00
2020,Human Resources and Development,Human Services,"Leadership, Operations & IT",M768-701,Personnel Administrator,80102.00
2020,Human Resources and Development,Human Services,"Leadership, Operations & IT",M455-701,Off. of College Success Coord.,99743.00
2020,Human Resources and Development,Human Services,"Leadership, Operations & IT",K031-001,Fiscal Administrator,40980.00
2020,Human Resources and Development,Human Services,"Leadership, Operations & IT",M305-701,DHSP Systems Coordinator,73928.00
2020,Human Resources and Development,Human Services,"Leadership, Operations & IT",M242-701,DHSP Operations Manager,65249.00
2020,Human Resources and Development,Human Services,"Leadership, Operations & IT",M439-001,Communications Manager/DHSP,89445.00
2020,Human Resources and Development,Human Services,"Leadership, Operations & IT",M231-701,Asst.Dir./Child Yth & Fam Srv,130659.00
2020,Human Resources and Development,Human Services,"Leadership, Operations & IT",M767-701,Asst.Dir./Adult & Fam. Srvc,130659.00
2020,Human Resources and Development,Human Services,"Leadership, Operations & IT",M425-702,Asst.Dir for Administration,130659.00
2020,Human Resources and Development,Human Services,"Leadership, Operations & IT",O011-701,Asst City Mngr/Human Serv,205397.00
2020,Human Resources and Development,Human Services,"Leadership, Operations & IT",C101-701,Admin Asst/Personnel/DHSP,60669.00
2020,Human Resources and Development,Human Services,"Leadership, Operations & IT",M501-702,Admin Asst/Dhsp,61241.00
2020,Human Resources and Development,Human Services,King Open Extended Day,M867-711,Extended Day Teacher,40489.00
2020,Human Resources and Development,Human Services,King Open Extended Day,M867-710,Extended Day Teacher,40489.00
2020,Human Resources and Development,Human Services,King Open Extended Day,M867-709,Extended Day Teacher,36965.00
2020,Human Resources and Development,Human Services,King Open Extended Day,M867-708,Extended Day Teacher,40489.00
2020,Human Resources and Development,Human Services,King Open Extended Day,M867-707,Extended Day Teacher,40489.00
2020,Human Resources and Development,Human Services,King Open Extended Day,M867-702,Extended Day Teacher,40489.00
2020,Human Resources and Development,Human Services,King Open Extended Day,M867-701,Extended Day Teacher,40489.00
2020,Human Resources and Development,Human Services,King Open Extended Day,M868-711,Assistant Teacher-KOED,18120.00
2020,Human Resources and Development,Human Services,King Open Extended Day,M868-709,Assistant Teacher-KOED,18585.00
2020,Human Resources and Development,Human Services,King Open Extended Day,M868-707,Assistant Teacher-KOED,19500.00
2020,Human Resources and Development,Human Services,King Open Extended Day,M868-705,Assistant Teacher-KOED,18360.00
2020,Human Resources and Development,Human Services,King Open Extended Day,M868-704,Assistant Teacher-KOED,19043.00
2020,Human Resources and Development,Human Services,King Open Extended Day,M868-703,Assistant Teacher-KOED,19043.00
2020,Human Resources and Development,Human Services,King Open Extended Day,M868-702,Assistant Teacher-KOED,19043.00
2020,Human Resources and Development,Human Services,King Open Extended Day,M869-701,Assistant Program Manager ED,63276.00
2020,Human Resources and Development,Human Services,Inclusion Initiative,M436-701,Manager of Inclusion Services,100645.00
2020,Human Resources and Development,Human Services,Inclusion Initiative,M435-701,Inclusion Specialist,49342.00
2020,Human Resources and Development,Human Services,Family Policy Council,M454-701,Exec Dir/Kids Council,99743.00
2020,Human Resources and Development,Human Services,Elderly Services & Council on Aging,A857-701,Weekend Receptionist/COA,4734.00
2020,Human Resources and Development,Human Services,Elderly Services & Council on Aging,A859-701,Weekend Meals Asst/COA,4304.00
2020,Human Resources and Development,Human Services,Elderly Services & Council on Aging,A859-000,Weekend Meals Asst/COA,2152.00
2020,Human Resources and Development,Human Services,Elderly Services & Council on Aging,M861-701,Sr Food Pantry Coordinato,50153.00
2020,Human Resources and Development,Human Services,Elderly Services & Council on Aging,M519-701,Sr Center Director,87770.00
2020,Human Resources and Development,Human Services,Elderly Services & Council on Aging,M872-702,Senior Center Assistant,18745.00
2020,Human Resources and Development,Human Services,Elderly Services & Council on Aging,M859-701,Senior Center Activity Assist.,46394.00
2020,Human Resources and Development,Human Services,Elderly Services & Council on Aging,M860-701,Senior Acitivites Assistant,46394.00
2020,Human Resources and Development,Human Services,Elderly Services & Council on Aging,A110-704,Office Aide COA,16376.00
2020,Human Resources and Development,Human Services,Elderly Services & Council on Aging,A110-703,Office Aide COA,16376.00
2020,Human Resources and Development,Human Services,Elderly Services & Council on Aging,A110-702,Office Aide COA,16786.00
2020,Human Resources and Development,Human Services,Elderly Services & Council on Aging,A110-701,Office Aide COA,16376.00
2020,Human Resources and Development,Human Services,Elderly Services & Council on Aging,M482-701,N. Camb. Sr Center Director,65249.00
2020,Human Resources and Development,Human Services,Elderly Services & Council on Aging,A499-701,Meals Coordinator/COA,53497.00
2020,Human Resources and Development,Human Services,Elderly Services & Council on Aging,M642-702,Intake Info Referral Spec,54975.00
2020,Human Resources and Development,Human Services,Elderly Services & Council on Aging,M856-701,Food Svs Manager/Coa,69599.00
2020,Human Resources and Development,Human Services,Elderly Services & Council on Aging,A500-701,Food Pantry Assistant,16786.00
2020,Human Resources and Development,Human Services,Elderly Services & Council on Aging,M797-701,Div Head/COA,117184.00
2020,Human Resources and Development,Human Services,Elderly Services & Council on Aging,M517-701,Dir/Client Svs/Coa,86559.00
2020,Human Resources and Development,Human Services,Elderly Services & Council on Aging,M761-703,Case Manager/Dhsp,62346.00
2020,Human Resources and Development,Human Services,Elderly Services & Council on Aging,A860-701,Bus Driver/COA,48820.00
2020,Human Resources and Development,Human Services,Elderly Services & Council on Aging,M501-701,Admin Asst/Dhsp,61241.00
2020,Human Resources and Development,Human Services,Elderly Services & Council on Aging,M521-701,Activities/Voulntr Coord,65249.00
2020,Human Resources and Development,Human Services,Community Schools,M423-703,Program Mgr/Developer,86559.00
2020,Human Resources and Development,Human Services,Community Schools,M423-701,Program Mgr/Developer,87770.00
2020,Human Resources and Development,Human Services,Community Schools,M426-701,Div Head/Comm & Youth,117184.00
2020,Human Resources and Development,Human Services,Community Schools,M310-703,Community School Program Dir.,55098.00
2020,Human Resources and Development,Human Services,Community Schools,M310-702,Community School Program Dir.,50936.00
2020,Human Resources and Development,Human Services,Community Schools,M310-701,Community School Program Dir.,53884.00
2020,Human Resources and Development,Human Services,Community Schools,M428-718,Comm School Director,65244.00
2020,Human Resources and Development,Human Services,Community Schools,M428-717,Comm School Director,65249.00
2020,Human Resources and Development,Human Services,Community Schools,M428-714,Comm School Director,65249.00
2020,Human Resources and Development,Human Services,Community Schools,M428-711,Comm School Director,65249.00
2020,Human Resources and Development,Human Services,Community Schools,M428-710,Comm School Director,65249.00
2020,Human Resources and Development,Human Services,Community Schools,M428-709,Comm School Director,65249.00
2020,Human Resources and Development,Human Services,Community Schools,M428-708,Comm School Director,62982.00
2020,Human Resources and Development,Human Services,Community Schools,M428-707,Comm School Director,65249.00
2020,Human Resources and Development,Human Services,Community Schools,M428-706,Comm School Director,65249.00
2020,Human Resources and Development,Human Services,Community Schools,M428-704,Comm School Director,60924.00
2020,Human Resources and Development,Human Services,Community Schools,M428-703,Comm School Director,60976.00
2020,Human Resources and Development,Human Services,Community Schools,M428-701,Comm School Director,65249.00
2020,Human Resources and Development,Human Services,Community Schools,M501-703,Admin Asst/Dhsp,61241.00
2020,Human Resources and Development,Human Services,Community Learning Center,K016-001,Teacher/Comm Learn Ctr,59589.00
2020,Human Resources and Development,Human Services,Community Learning Center,M446-712,Teacher/Comm Learn Cntr,59589.00
2020,Human Resources and Development,Human Services,Community Learning Center,M446-709,Teacher/Comm Learn Cntr,59589.00
2020,Human Resources and Development,Human Services,Community Learning Center,M107-701,Fiscal Assistant/CLC,59589.00
2020,Human Resources and Development,Human Services,Community Learning Center,M442-701,Div Head/CLC,117184.00
2020,Human Resources and Development,Human Services,Community Learning Center,M800-705,CLC Staff/Comm Learn Cntr,50849.00
2020,Human Resources and Development,Human Services,Community Learning Center,M151-701,Bilingual Office Aide,43361.00
2020,Human Resources and Development,Human Services,Community Learning Center,M807-702,Assistant Director of CLC,49283.00
2020,Human Resources and Development,Human Services,Community Learning Center,M807-701,Assistant Director of CLC,71082.00
2020,Human Resources and Development,Human Services,Community Learning Center,M443-701,ABE/GED Counselor/Teacher,59589.00
2020,Human Resources and Development,Human Services,Community Engagement Team,M281-701,Admin. Family  Support Worker,49609.00
2020,Human Resources and Development,Human Services,Commission for Persons with Disabilities,M254-701,Disability Project Coordinator,70216.00
2020,Human Resources and Development,Human Services,Commission for Persons with Disabilities,M034-701,Coordinator-Ada/Exec Dir,95467.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-730,Teacher/Daycare,42958.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-729,Teacher/Daycare,42958.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-728,Teacher/Daycare,42958.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-723,Teacher/Daycare,30994.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-722,Teacher/Daycare,47528.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-721,Teacher/Daycare,47528.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-720,Teacher/Daycare,44686.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-719,Teacher/Daycare,43154.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-718,Teacher/Daycare,47528.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-717,Teacher/Daycare,42724.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-716,Teacher/Daycare,47344.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-714,Teacher/Daycare,29715.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-713,Teacher/Daycare,47528.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-712,Teacher/Daycare,30690.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-709,Teacher/Daycare,42958.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-708,Teacher/Daycare,29959.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-707,Teacher/Daycare,31411.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-706,Teacher/Daycare,47528.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-705,Teacher/Daycare,45345.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-704,Teacher/Daycare,42990.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-703,Teacher/Daycare,46360.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-702,Teacher/Daycare,29139.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D446-701,Teacher/Daycare,29650.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,C171-712,Sr Account Clerk,60021.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,M445-702,Rotating Teacher,38302.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,M445-701,Rotating Teacher,38302.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,M441-701,Program Substitute,24330.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,M139-701,Preschool Manager,87770.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,M855-705,Preschool Director/Teacher,53006.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,M855-704,Preschool Director/Teacher,61339.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,M855-703,Preschool Director/Teacher,61339.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,M855-702,Preschool Director/Teacher,61339.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,M855-701,Preschool Director/Teacher,57218.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,M908-703,Pre-School Teacher/Coordinator,51277.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,M908-701,Pre-School Teacher/Coordinator,56733.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,M138-701,King Preschool Director/Teache,75752.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D447-729,Head Teacher/Daycare,47730.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D447-726,Head Teacher/Daycare,42043.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D447-724,Head Teacher/Daycare,48214.00
2020,Human Resources and Development,Human Services,Childcare & Family Support Services,D447-723,Head Teacher/Daycare,52138.00
